customer_id,monthly_bill,churn
835316,108,0
964559,118,0
217961,90,0
596626,130,1
471363,59,1
680656,131,1
700371,115,0
155889,65,1
392580,53,0
665992,79,0
475321,124,1
832981,71,0
232781,96,0
944296,88,1
437075,58,1
848002,119,1
156826,131,1
367461,110,1
501589,82,0
310042,37,1
361202,72,0
882777,91,1
532766,61,0
128182,128,1
224080,130,0
140824,64,0
470747,96,0
660597,120,1
755191,109,1
911740,57,0
461075,118,1
316453,133,1
599261,120,0
662965,94,1
254058,77,0
274707,31,0
298656,99,1
868708,40,1
664551,73,0
109371,115,0
590460,147,1
612660,46,0
440108,34,0
277633,46,1
443196,77,1
954414,117,1
652962,148,1
671012,110,1
170783,120,1
821018,117,1
911461,148,1
393881,108,0
693559,57,1
737150,72,1
700123,64,1
714778,123,1
704752,34,0
242429,89,0
934233,128,1
639042,113,0
607700,112,1
691575,89,0
791739,129,0
633294,67,1
591265,107,0
973575,46,1
200055,107,0
699564,79,0
720163,112,0
311148,139,0
275842,127,0
701732,72,0
493081,74,1
577954,90,1
159680,118,1
703028,72,0
527808,114,1
621020,137,1
160830,60,0
821090,80,1
849013,132,0
608542,112,0
545268,43,1
608536,126,0
662164,68,1
202971,89,1
555356,94,1
629812,38,0
466882,142,1
516147,81,1
139354,89,1
321016,43,0
185213,79,0
372173,80,1
851757,84,1
980955,133,0
533141,104,0
126915,97,1
697826,51,0
835316,140,1
